time (unix), tc temp (C), tr temp (C), tr res (ohm), film res (ohm)
1644159529.0399919,23.1788444,22.373804495819048,1027.18262,-2239057.98
1644159530.2337816,23.1804523,22.37625220293106,1027.18994,-2239199.76
1644159531.4335918,23.1678504,22.378131447849675,1027.19556,-2238984.46
1644159532.632047,23.1687374,22.377763624495557,1027.19446,-2238746.62
1644159533.8310878,23.1758575,22.37727207844861,1027.19299,-2238458.49
1644159535.0363867,23.1783199,22.376743749671512,1027.19141,-2238069.61
1644159536.239183,23.1722984,22.37829195252739,1027.19604,-2237990.02
1644159537.4367044,23.1664695,22.37625220293106,1027.18994,-2238229.45
1644159538.6269445,23.1645889,22.37670027956511,1027.19128,-2238353.29
1644159539.8376179,23.1712856,22.374580272740623,1027.18494,-2238529.2
1644159541.0331993,23.1658916,22.375232325974743,1027.18689,-2239123.27
1644159542.2308865,23.1565456,22.37290499481178,1027.17993,-2240011.02
1644159543.4260948,23.1553878,22.376416051881726,1027.19043,-2240121.88
1644159544.6346776,23.160511,22.376171950370132,1027.1897,-2239689.14
1644159545.8346808,23.1600761,22.37556002430123,1027.18787,-2239523.55
1644159547.0338507,23.1675205,22.37384462223195,1027.18274,-2239092.14
1644159548.2317655,23.1763286,22.374172321187377,1027.18372,-2238462.31
1644159549.4261703,23.1790466,22.374292700358158,1027.18408,-2238590.43
1644159550.625597,23.1764869,22.373600519852367,1027.18201,-2239043.43
1644159551.823719,23.1758613,22.37604822765484,1027.18933,-2238676.97
1644159553.0324628,23.1685085,22.375028350410858,1027.18628,-2239203.59
1644159554.2335978,23.1549282,22.37662002705399,1027.19104,-2239493.0
1644159555.4442425,23.1655406,22.377843876879826,1027.1947,-2239444.07
1644159556.639832,23.1723232,22.37339654382806,1027.1814,-2239794.05
1644159557.8405879,23.1687221,22.37535604882969,1027.18726,-2240122.73
1644159559.0660803,23.171276,22.373557049556826,1027.18188,-2240503.5
1644159560.2645173,23.1674442,22.376335799339028,1027.19019,-2240771.29
1644159561.4604752,23.171339,22.37396834532432,1027.18311,-2240991.08
1644159562.6592522,23.1691474,22.374048598129836,1027.18335,-2240312.01
1644159563.854899,23.1725788,22.374456549752857,1027.18457,-2239953.83
1644159565.0537088,23.1773281,22.373600519852367,1027.18201,-2239597.53
1644159566.263327,23.1646251,22.3746605254781,1027.18518,-2239070.17
1644159567.4769688,23.1624488,22.376131824086468,1027.18958,-2238970.11
1644159568.6708357,23.1731586,22.374172321187377,1027.18372,-2238978.84
1644159569.8685064,23.1706485,22.37572052954972,1027.18835,-2238792.68
1644159571.061751,23.1650104,22.375068476755942,1027.1864,-2239101.6
1644159572.2592738,23.1774749,22.375680403240988,1027.18823,-2238700.11
1644159573.4552221,23.1809024,22.37437629699281,1027.18433,-2238598.7
1644159574.6566584,23.1775512,22.376335799339028,1027.19019,-2238169.22
1644159575.8561459,23.1742496,22.37596797507145,1027.18909,-2237566.68
1644159577.0482943,23.1748008,22.374824374789462,1027.18567,-2237412.11
1644159578.2459466,23.1736392,22.375476427803413,1027.18762,-2237619.51
1644159579.44165,23.1743011,22.37584425232122,1027.18872,-2237730.9
1644159580.6363995,23.1726703,22.371925239653116,1027.177,-2238009.65
1644159581.8336067,23.182106,22.372169342598376,1027.17773,-2238420.34
1644159583.0281317,23.1822834,22.371273183436312,1027.17505,-2238390.12
1644159584.220355,23.1831569,22.373804495819048,1027.18262,-2238561.16
1644159585.419839,23.1778373,22.37249704231317,1027.17871,-2238835.76
1644159586.6213012,23.1833896,22.3726608921149,1027.1792,-2239205.0
1644159587.8169606,23.1894283,22.375516554123646,1027.18774,-2239585.53
1644159589.0147574,23.1924171,22.37221281297736,1027.17786,-2239614.27
1644159590.2133687,23.1904811,22.37253716879867,1027.17883,-2239967.69
1644159591.4087417,23.1880588,22.371965366170407,1027.17712,-2240020.96
1644159592.6086638,23.1945915,22.373557049556826,1027.18188,-2239776.74
1644159593.821127,23.1967105,22.375028350410858,1027.18628,-2239921.73
1644159595.0131552,23.1923408,22.374172321187377,1027.18372,-2239704.73
1644159596.213977,23.1847858,22.374128850926343,1027.18359,-2239221.33
1644159597.4079762,23.205326,22.376171950370132,1027.1897,-2239170.53
1644159598.6068385,23.1955852,22.372988591606813,1027.18018,-2239087.44
1644159599.803466,23.2006072,22.37474077820668,1027.18542,-2239332.73
1644159601.0191295,23.2057933,22.372784615409866,1027.17957,-2239659.38
1644159602.2149668,23.2068462,22.374700651843582,1027.1853,-2239422.48
1644159603.4115899,23.2110843,22.37592450491839,1027.18896,-2239706.73
1644159604.607463,23.2119655,22.374088724529177,1027.18347,-2239499.12
1644159605.8048804,23.2102489,22.375152073300747,1027.18665,-2239089.45
1644159607.0068464,23.2093963,22.373804495819048,1027.18262,-2239040.25
1644159608.2032824,23.2002983,22.37433282674393,1027.1842,-2239241.99
1644159609.4363556,23.2056999,22.373557049556826,1027.18188,-2239179.06
1644159610.6357872,23.2111377,22.37396834532432,1027.18311,-2239435.43
1644159611.833606,23.2126064,22.376292329207995,1027.19006,-2239951.48
1644159613.0289383,23.2188758,22.371641010092468,1027.17615,-2240233.46
1644159614.2262313,23.2262668,22.37572052954972,1027.18835,-2240113.23
1644159615.424673,23.2146625,22.3726608921149,1027.1792,-2239915.54
1644159616.620021,23.2224121,22.375396175156652,1027.18738,-2239329.5
1644159617.8174078,23.2427673,22.376131824086468,1027.18958,-2238919.08
1644159619.014726,23.2264709,22.374048598129836,1027.18335,-2239054.36
1644159620.2096622,23.225912,22.376335799339028,1027.19019,-2239095.16
1644159621.4005685,23.2213897,22.37372089911831,1027.18237,-2239616.27
1644159622.600982,23.2245597,22.373516923127973,1027.18176,-2239630.83
1644159623.7990055,23.2315559,22.37556002430123,1027.18787,-2239550.47
1644159624.992868,23.2331829,22.375476427803413,1027.18762,-2239291.82
1644159626.1988876,23.236042,22.374620399110555,1027.18506,-2239515.69
1644159627.3991356,23.235445,22.374048598129836,1027.18335,-2239553.77
1644159628.5970829,23.2399253,22.374172321187377,1027.18372,-2239318.11
1644159629.7919304,23.2340164,22.37437629699281,1027.18433,-2239430.41
1644159630.987981,23.2398834,22.372784615409866,1027.17957,-2239636.62
1644159632.1855311,23.2373752,22.37053752956245,1027.17285,-2239939.78
1644159633.3814347,23.246088,22.375516554123646,1027.18774,-2240402.63
1644159634.5791767,23.2511234,22.373804495819048,1027.18262,-2240545.52
1644159635.7746806,23.2498664,22.37649630441531,1027.19067,-2240604.78
1644159636.9747858,23.2502326,22.374088724529177,1027.18347,-2240113.63
1644159638.1735222,23.2555179,22.376131824086468,1027.18958,-2239826.83
1644159639.3702743,23.2619915,22.375068476755942,1027.1864,-2239676.38
1644159640.5689876,23.2619838,22.3770279772262,1027.19226,-2239933.26
1644159641.7690473,23.2460632,22.375804126019215,1027.1886,-2239855.63
1644159642.9812284,23.249979,22.37592450491839,1027.18896,-2239873.99
1644159644.182344,23.2582836,22.37576399971515,1027.18848,-2240009.72
1644159645.3796349,23.240673,22.37372089911831,1027.18237,-2239755.01
1644159646.5778713,23.2423076,22.377355674738734,1027.19324,-2239316.72
1644159647.7774084,23.2289276,22.37572052954972,1027.18835,-2239343.46
1644159648.9747505,23.227333,22.37576399971515,1027.18848,-2239308.47
1644159650.1723554,23.2438373,22.371885113133654,1027.17688,-2239519.69
1644159651.4053833,23.2401313,22.37433282674393,1027.1842,-2240097.69
1644159652.6167443,23.2416667,22.37474077820668,1027.18542,-2240399.55
1644159653.81549,23.2301769,22.375804126019215,1027.1886,-2240559.05
1644159655.014234,23.2413482,22.374580272740623,1027.18494,-2240509.56
1644159656.2117636,23.2394752,22.37433282674393,1027.1842,-2240413.61
1644159657.4065416,23.2292251,22.37384462223195,1027.18274,-2240117.67
1644159658.602745,23.2258529,22.375312578639843,1027.18713,-2239916.75
1644159659.799643,23.2376728,22.37592450491839,1027.18896,-2239708.83
1644159660.9967957,23.2328014,22.37474077820668,1027.18542,-2239863.59
1644159662.1936522,23.2365932,22.37560015061669,1027.18799,-2240210.73
1644159663.3890228,23.2398586,22.373272820637705,1027.18103,-2240679.81
1644159664.5848672,23.2387962,22.37474077820668,1027.18542,-2240641.21
1644159665.7849166,23.2414722,22.376171950370132,1027.1897,-2240078.45
1644159666.9806406,23.238182,22.373640646276446,1027.18213,-2239643.17
1644159668.1751854,23.246788,22.374128850926343,1027.18359,-2239014.55
1644159669.365471,23.2393608,22.374292700358158,1027.18408,-2238971.34
1644159670.5622864,23.2421932,22.375476427803413,1027.18762,-2239374.59
1644159671.759488,23.2334709,22.37441642337392,1027.18445,-2239770.93
1644159672.9593968,23.2357234,22.374620399110555,1027.18506,-2240473.35
1644159674.157798,23.2355575,22.373312947080123,1027.18115,-2241016.89
1644159675.355482,23.228939,22.37249704231317,1027.17871,-2241148.71
1644159676.5524895,23.2344818,22.37053752956245,1027.17285,-2241235.83
1644159677.7493496,23.2338085,22.375152073300747,1027.18665,-2240684.76
1644159678.9447553,23.233097,22.37274114506539,1027.17944,-2239610.42
1644159680.1430204,23.2350101,22.374496676129628,1027.18469,-2239518.52
1644159681.3421621,23.247734,22.371681136625384,1027.17627,-2239532.18
1644159682.540408,23.2455139,22.376743749671512,1027.19141,-2240057.68
1644159683.7408822,23.2472839,22.374172321187377,1027.18372,-2240775.23
1644159684.9538221,23.2341976,22.37221281297736,1027.17786,-2240814.61
1644159686.1546524,23.2334232,22.37433282674393,1027.1842,-2240874.81
1644159687.3507464,23.2304992,22.373068844520947,1027.18042,-2240722.11
1644159688.550944,23.2251167,22.37204896307406,1027.17737,-2240008.82
1644159689.7610996,23.2187576,22.373068844520947,1027.18042,-2239643.71
1644159690.9604132,23.2256679,22.375068476755942,1027.1864,-2239588.53
1644159692.1581657,23.2222709,22.374784248430924,1027.18555,-2239613.33
1644159693.370921,23.2242069,22.373149097426293,1027.18066,-2239599.15
1644159694.5685127,23.2244319,22.370497402965945,1027.17273,-2239843.97
1644159695.7674847,23.2290554,22.37074150639333,1027.17346,-2239677.67
1644159696.966799,23.2267208,22.37396834532432,1027.18311,-2239165.37
1644159698.1611536,23.2261028,22.373640646276446,1027.18213,-2239149.69
1644159699.3577666,23.2103176,22.37396834532432,1027.18311,-2238974.24
1644159700.56777,23.2229957,22.375476427803413,1027.18762,-2239069.52
1644159701.7650986,23.2254505,22.372945121274597,1027.18005,-2239121.29
1644159702.9604442,23.2268924,22.370621126631264,1027.1731,-2239043.65
1644159704.1596477,23.2194118,22.372416789335556,1027.17847,-2238965.13
1644159705.3689044,23.2237625,22.37180486008811,1027.17664,-2238811.52
1644159706.5675197,23.2274761,22.374088724529177,1027.18347,-2239223.57
1644159707.7635894,23.2217826,22.373640646276446,1027.18213,-2239601.57
1644159708.9580014,23.2184486,22.374904627499813,1027.18591,-2239640.45
1644159710.1650183,23.2157897,22.3709454831668,1027.17407,-2240293.8
1644159711.3608034,23.2154502,22.372864868346788,1027.17981,-2240368.14
1644159712.5597463,23.2100601,22.372293065977548,1027.1781,-2240229.57
1644159713.7560883,23.220642,22.373068844520947,1027.18042,-2240053.62
1644159714.9526718,23.2183551,22.37572052954972,1027.18835,-2239921.26
1644159716.1454494,23.2089767,22.373516923127973,1027.18176,-2239762.58
1644159717.3440564,23.2128238,22.368945839528127,1027.16809,-2239551.21
1644159718.5421765,23.2025547,22.374088724529177,1027.18347,-2239570.64
1644159719.7546666,23.2097015,22.373272820637705,1027.18103,-2239163.24
1644159720.9514117,23.2060108,22.37510860309864,1027.18652,-2238768.15
1644159722.1462896,23.2107276,22.37347679669695,1027.18164,-2238461.22
1644159723.3434453,23.2173404,22.374088724529177,1027.18347,-2238757.35
1644159724.534817,23.2008743,22.372456915825502,1027.17859,-2239382.96
1644159725.7456064,23.197956,22.3715574131415,1027.1759,-2239718.13
1644159726.9563951,23.1971302,22.372293065977548,1027.1781,-2239887.28
1644159728.1650114,23.1963138,22.37057765615668,1027.17297,-2239850.35
1644159729.3596177,23.1929817,22.3715574131415,1027.1759,-2239897.32
1644159730.5738804,23.2008266,22.372008836561438,1027.17725,-2239680.64
1644159731.7712488,23.1943054,22.373516923127973,1027.18176,-2239647.43
1644159732.9676461,23.1917991,22.374496676129628,1027.18469,-2239107.89
1644159734.1661935,23.2078113,22.372252939478486,1027.17798,-2238999.54
1644159735.3817868,23.2056922,22.373192567746138,1027.18079,-2239164.79
1644159736.5806212,23.2047309,22.371273183436312,1027.17505,-2239236.11
1644159737.7801826,23.2033061,22.373312947080123,1027.18115,-2239712.22
1644159738.9792511,23.2114219,22.37253716879867,1027.17883,-2239753.92
1644159740.1789873,23.2008609,22.37176138968471,1027.17651,-2239636.56
