t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681586106.6069589, -3.2, 1.606372e-05, -2.200344e-06, 1.650353e-05, 352.3382, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586112.3205192, 3.2, 1.401648e-05, -2.273427e-06, 1.415202e-05, 351.2242, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586118.0234377, -3.2, 2.026788e-05, -2.200344e-06, 2.019743e-05, 353.9062, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586123.7402823, 3.2, 1.525945e-05, -2.127261e-06, 1.486409e-05, 351.7081, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586129.4788172, -3.2, 2.088937e-05, -2.236886e-06, 2.074661e-05, 353.9023, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586135.1691012, 3.2, 1.482075e-05, -2.163802e-06, 1.490027e-05, 352.1472, 0, 0, 0, 4.166666666666667, 3.2, 0.985416, 0.0165406, 0.41913, 0.966
1681586140.8737206, -3.2, 2.169364e-05, -2.127261e-06, 2.208529e-05, 354.6562, 0, 0, 0, 4.166666666666667, 3.2, 0.985416, 0.0165406, 0.41913, 0.966
1681586146.5724657, 3.2, 1.650242e-05, -2.163802e-06, 1.5919e-05, 352.1606, 0, 0, 0, 4.166666666666667, 3.2, 0.985416, 0.0165406, 0.41913, 0.966
1681586152.247975, -3.2, 2.10356e-05, -2.163802e-06, 2.154302e-05, 354.3822, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586157.9431994, 3.2, 1.558847e-05, -2.127261e-06, 1.547943e-05, 352.4564, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586163.659719, -3.2, 2.24248e-05, -2.163802e-06, 2.165578e-05, 354.7306, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586169.3692353, 3.2, 1.628307e-05, -2.054178e-06, 1.64076e-05, 352.4223, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586175.0769775, -3.2, 2.158397e-05, -2.054178e-06, 2.200906e-05, 354.4275, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586180.786256, 3.2, 1.562503e-05, -2.054178e-06, 1.534658e-05, 352.3611, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586186.5159519, -3.2, 2.224201e-05, -2.127261e-06, 2.262791e-05, 354.8082, 0, 0, 0, 4.166666666666667, 3.2, 0.985416, 0.0165406, 0.41913, 0.966
1681586192.2011616, 3.2, 1.759916e-05, -2.054178e-06, 1.713344e-05, 352.7813, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586197.9016786, -3.2, 2.001198e-05, -2.163802e-06, 2.007706e-05, 354.2946, 0, 0, 0, 4.166666666666667, 3.2, 0.985416, 0.0166017, 0.41913, 0.966
1681586203.602719, 3.2, 1.75626e-05, -2.236886e-06, 1.769096e-05, 353.6048, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586209.287569, -3.2, 2.308284e-05, -2.090719e-06, 2.42212e-05, 354.9518, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586214.9826624, 3.2, 1.752604e-05, -2.090719e-06, 1.730661e-05, 353.0095, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586220.694943, -3.2, 2.352154e-05, -2.017636e-06, 2.324055e-05, 354.9808, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586226.41171, 3.2, 1.697767e-05, -1.981095e-06, 1.709714e-05, 353.1644, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586232.118809, -3.2, 2.319252e-05, -2.090719e-06, 2.316157e-05, 355.2067, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586237.8240705, 3.2, 1.745292e-05, -1.944553e-06, 1.753284e-05, 353.6557, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586243.510731, -3.2, 2.304628e-05, -2.054178e-06, 2.302518e-05, 355.032, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586249.222145, 3.2, 1.679488e-05, -2.017636e-06, 1.697557e-05, 353.7868, 0, 0, 0, 4.166666666666667, 3.2, 0.985416, 0.0165406, 0.41913, 0.966
1681586254.9283419, -3.2, 2.253447e-05, -1.981095e-06, 2.273713e-05, 355.1075, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586260.640671, 3.2, 1.705079e-05, -1.908012e-06, 1.657604e-05, 353.0294, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586266.3217242, -3.2, 1.928082e-05, -2.017636e-06, 1.967328e-05, 354.1901, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586272.0407274, 3.2, 1.664865e-05, -1.981095e-06, 1.664867e-05, 352.8732, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586277.7359338, -3.2, 2.209578e-05, -2.090719e-06, 2.207193e-05, 354.885, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586283.4355018, 3.2, 1.620995e-05, -1.834929e-06, 1.596325e-05, 352.6761, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586289.1132452, -3.2, 2.194955e-05, -1.981095e-06, 2.203551e-05, 354.7826, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586294.8016658, 3.2, 1.566159e-05, -1.944553e-06, 1.575012e-05, 352.5386, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586300.4997346, -3.2, 2.147429e-05, -2.090719e-06, 2.18138e-05, 354.8433, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.41913, 0.966
1681586306.2085829, 3.2, 1.569814e-05, -1.87147e-06, 1.599954e-05, 352.9376, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586311.8886628, -3.2, 2.224201e-05, -1.981095e-06, 2.277354e-05, 354.9677, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.419069, 0.966
1681586317.5681221, 3.2, 1.591749e-05, -1.944553e-06, 1.584996e-05, 352.8895, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.419069, 0.966
1681586323.243241, -3.2, 2.162053e-05, -1.908012e-06, 2.191991e-05, 354.8255, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.419069, 0.966
1681586328.921162, 3.2, 1.610028e-05, -1.944553e-06, 1.578639e-05, 353.1222, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586334.6262064, -3.2, 2.165708e-05, -1.834929e-06, 2.200236e-05, 355.0969, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586340.3220787, 3.2, 1.646586e-05, -1.908012e-06, 1.627715e-05, 353.2718, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586346.0216424, -3.2, 2.24248e-05, -1.908012e-06, 2.207193e-05, 355.0565, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586351.7234857, 3.2, 1.595405e-05, -1.87147e-06, 1.599082e-05, 353.1956, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586357.4351304, -3.2, 2.205922e-05, -1.908012e-06, 2.203232e-05, 354.9988, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586363.1372888, 3.2, 1.61734e-05, -1.834929e-06, 1.6245e-05, 353.3995, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586368.8280177, -3.2, 2.176676e-05, -1.944553e-06, 2.184706e-05, 355.0071, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586374.5281463, 3.2, 1.588093e-05, -1.87147e-06, 1.558718e-05, 353.2709, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.419069, 0.966
1681586380.242143, -3.2, 2.249792e-05, -1.798387e-06, 2.290961e-05, 355.4115, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586385.9436975, 3.2, 1.664865e-05, -1.87147e-06, 1.657604e-05, 353.4726, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.41913, 0.966
1681586391.6217058, -3.2, 2.300973e-05, -1.834929e-06, 2.279422e-05, 355.3131, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586397.3145359, 3.2, 1.646586e-05, -1.834929e-06, 1.637422e-05, 353.53, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586402.9951007, -3.2, 2.19861e-05, -1.834929e-06, 2.257562e-05, 355.6846, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0166017, 0.419069, 0.966
1681586408.67816, 3.2, 1.657553e-05, -1.798387e-06, 1.689482e-05, 353.6421, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586414.3544476, -3.2, 2.293661e-05, -1.908012e-06, 2.260324e-05, 355.4809, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586420.0516772, 3.2, 1.694111e-05, -1.87147e-06, 1.630542e-05, 353.7712, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586425.755218, -3.2, 2.220545e-05, -1.761845e-06, 2.216884e-05, 355.3469, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586431.469673, 3.2, 1.606372e-05, -1.761845e-06, 1.65962e-05, 353.7783, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586437.1871812, -3.2, 2.282694e-05, -1.798387e-06, 2.279422e-05, 355.7957, 0, 0, 0, 4.166666666666667, 3.2, 0.985355, 0.0165406, 0.419069, 0.966
1681586459.0534892, 3.2, -1.310949e-05, -1.981095e-06, 1.278301e-05, 188.921, 0, 0, 0, 8.333333333333334, 3.2, 0.984745, 0.0165406, 0.41852, 0.966
