t,i,temp_desired,temp_tc,temp_therm
1681775104.6010978,15,0.42417114263210864,14.659934(988.485779, 9.316174641599547)
1681775109.6630988,15,0.39501985665715966,14.6207675(988.267151, 9.241719755980652)
1681775114.623553,15,0.3651821944465745,14.5818691(988.075562, 9.176466719243946)
1681775126.8557532,14.5597686,0.5601338047070765,14.5346145(987.676575, 9.040557021180543)
1681775131.849243,14.5597686,0.562404847007076,14.5401411(987.565125, 9.002588386589327)
1681775136.8583944,14.5597686,0.5736159895070767,14.5624303(987.491821, 8.977614171852206)
1681775141.850087,14.643080122006989,0.5423538279534073,14.5860681(987.414368, 8.951225463676002)
1681775146.8695676,14.72669888608958,0.511713665513408,14.6140556(987.346802, 8.928204515010522)
1681775151.8858654,14.810306237869517,0.46503706609766815,14.614149(987.274109, 8.903435871315738)
1681775156.9000027,14.893827452990468,0.41865361022101777,14.6187009(987.197937, 8.877480902198005)
1681775161.8976886,14.977102481060282,0.37452975067310645,14.6309823(987.126099, 8.853001837121536)
1681775166.924682,15.06069586945877,0.32150742629671514,14.6301898(987.053223, 8.828168206634027)
1681775171.936411,15.144366286926523,0.2749580477667134,14.645771(986.993652, 8.807867816086713)
1681775176.974429,15.228278397255199,0.22185679184687168,14.6524505(986.944458, 8.791103224223695)
1681775181.9459438,15.311191827787018,0.16603225805214955,14.6562585(986.908142, 8.778727011208069)
1681775186.9508367,15.394550004336294,0.12991898966910514,14.7020168(986.896912, 8.77489987001687)
1681775191.9322526,15.47771742218043,0.07358355519252652,14.7108564(986.891846, 8.773173389770324)
1681775196.9587483,15.561513299478149,0.03282001027572434,14.7537631(986.905334, 8.777770057448185)
1681775201.9826026,15.645090829067485,0.005569916996030266,14.8240251(986.954224, 8.794431364945375)
1681775206.9834936,15.728505697581227,0,14.9127779(987.015198, 8.81521025132227)
1681775211.9774172,15.811821463438925,0,14.9828405(987.098816, 8.843704832323471)
1681775216.9973686,15.89540760788625,0,15.0782346(987.213562, 8.88280506709978)
1681775221.9985592,15.978923323485311,0,15.1843404(987.354919, 8.930970162045128)
1681775227.024572,16.062442428601837,0,15.3032484(987.510498, 8.983977392490285)
1681775232.0299492,16.145875567926026,0,15.4311494(987.684814, 9.043363791867478)
1681775237.0247586,16.22927433126475,0,15.5533275(987.891541, 9.113785608550376)
1681775242.0904746,16.31355311347351,0,15.6867113(988.10437, 9.186278779950353)
1681775247.0421996,16.396259481443025,0,15.8129453(988.322693, 9.260635608637505)
1681775252.059518,16.479856100413258,0,15.9368534(988.564636, 9.34302788085217)
1681775257.0667787,16.56318823370641,0,16.0679759(988.816772, 9.42888114593881)
1681775262.0770335,16.646791599922434,0,16.2152175(989.079895, 9.518464458202821)
1681775267.0879185,16.730330016943867,0.01355838044453947,16.3492794(989.350281, 9.610508772080532)
1681775272.090321,16.813783564898426,0.0321575473447995,16.4863052(989.636963, 9.70808751337998)
1681775277.1222343,16.897321620318348,0.0456831979332504,16.6112442(989.927307, 9.80689903866918)
1681775282.1083932,16.98060461951599,0.06621251784652954,16.7472534(990.210571, 9.903287814497618)
1681775287.128978,17.064264343910473,0.09183658154572014,16.8908576(990.511169, 10.005560686442163)
