time,res,x_v,y_v,r_v,t_v,x_a,y_a,r_a,t_a
1645225743.553942,98265968.45505,-0.0501408,-5.10256e-10,-0.0017578199999999998,2.9297e-11,0.0501591,5.10256e-10,-177.996,176.67
1645225746.1719735,98347676.62259687,-0.0501225,-5.09646e-10,-0.00153809,3.11281e-11,0.0501408,5.10256e-10,-178.242,176.442
1645225748.8036933,97571807.09291022,-0.0497866,-5.10256e-10,-0.0018005500000000002,3.05177e-11,0.049817099999999996,5.10867e-10,-177.936,176.556
1645225751.4053347,98230104.10460632,-0.0501225,-5.10256e-10,-0.0017822399999999998,3.17384e-11,0.05014690000000001,5.10256e-10,-177.972,176.406
1645225754.0140202,98301832.80549371,-0.0501591,-5.10256e-10,-0.00161744,3.05177e-11,0.050177400000000004,5.10867e-10,-178.164,176.52
1645225756.634085,98659406.02287814,-0.049859799999999996,-5.05373e-10,-0.00145264,2.9297e-11,0.049872,5.05373e-10,-178.332,176.676
1645225759.2364879,98466281.3407127,-0.0497622,-5.05373e-10,-0.00153199,2.9297e-11,0.0497805,5.05984e-10,-178.242,176.676
1645225761.858148,97971185.5239219,-0.049811,-5.08425e-10,-0.00183107,2.80763e-11,0.0498415,5.08425e-10,-177.894,176.808
1645225764.4589565,98301832.80549371,-0.0501591,-5.10256e-10,-0.00164796,2.9297e-11,0.050177400000000004,5.10256e-10,-178.122,176.706
1645225767.0635397,98347676.62259687,-0.0501225,-5.09646e-10,-0.0017822399999999998,3.17384e-11,0.05014690000000001,5.10256e-10,-177.966,176.406
1645225769.6834116,98738320.05750126,-0.0501408,-5.07815e-10,-0.0015686200000000002,3.17384e-11,0.050153,5.07815e-10,-178.212,176.352
1645225772.2994587,97523987.95898528,-0.0497622,-5.10256e-10,-0.00177003,2.9297e-11,0.0497866,5.10256e-10,-177.966,176.67
1645225774.903716,97906737.01044181,-0.0499575,-5.10256e-10,-0.00186769,3.05177e-11,0.049988,5.10867e-10,-177.858,176.52
1645225777.5198839,98774356.80316651,-0.0501591,-5.07815e-10,-0.00169679,3.35695e-11,0.050183500000000006,5.07815e-10,-178.062,176.202
1645225780.1415935,98228956.52139582,-0.0497622,-5.06594e-10,-0.00153199,2.80763e-11,0.0497805,5.06594e-10,-178.242,176.796
1645225782.7579627,97918691.79392305,-0.049963600000000004,-5.10256e-10,-0.0018737899999999997,3.05177e-11,0.0499941,5.10256e-10,-177.852,176.556
1645225785.3761668,98225665.76823643,-0.0500004,-5.09036e-10,-0.00145264,3.17384e-11,0.0500126,5.09646e-10,-178.338,176.364
1645225787.980132,98289162.52462524,-0.0497927,-5.06594e-10,-0.00150757,2.99074e-11,0.049811,5.07205e-10,-178.266,176.61
1645225790.5791044,98168553.12143451,-0.0497316,-5.06594e-10,-0.00166017,3.11281e-11,0.0497561,5.07205e-10,-178.086,176.46
1645225793.1928203,98409574.53108406,-0.0498537,-5.06594e-10,-0.00146485,2.99074e-11,0.049865900000000005,5.07205e-10,-178.32,176.61
1645225795.8204918,98666049.6440633,-0.0501041,-5.07815e-10,-0.0018005500000000002,3.29591e-11,0.0501347,5.08425e-10,-177.942,176.244
1645225798.438964,98431768.59347332,-0.0498049,-5.05984e-10,-0.00148926,2.80763e-11,0.0498232,5.06594e-10,-178.296,176.796
1645225801.054924,98002767.23840581,-0.050006499999999995,-5.10256e-10,-0.00186769,2.9297e-11,0.050037,5.10867e-10,-177.864,176.67
1645225803.6644742,98407522.08395633,-0.050153,-5.09646e-10,-0.001709,3.17384e-11,0.050177400000000004,5.10256e-10,-178.056,176.406
1645225806.2755535,98363186.4827831,-0.0498903,-5.07205e-10,-0.00145264,3.11281e-11,0.0499025,5.07205e-10,-178.338,176.424
1645225808.8837018,98361409.72850053,-0.0498293,-5.06594e-10,-0.00147706,2.9297e-11,0.0498476,5.07205e-10,-178.302,176.646
1645225811.4919138,98254946.2248992,-0.0498354,-5.07205e-10,-0.0018371700000000002,2.8686699999999998e-11,0.049865900000000005,5.07205e-10,-177.888,176.724
1645225814.0980968,97652684.41231757,-0.0497683,-5.09646e-10,-0.0017822399999999998,2.9297e-11,0.0497988,5.10256e-10,-177.954,176.664
1645225816.7456884,97932514.79377334,-0.0497316,-5.07815e-10,-0.0017212000000000002,2.80763e-11,0.0497561,5.07815e-10,-178.026,176.802
