t,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681336598.5860775,442.3,4.97,0.1,0.001204235,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336602.6354651,442.3,5.03,0.1,0.001211547,-7.850687e-07,0.001207894,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336606.6979141,442.3,5.08,0.1,0.001207891,-7.850687e-07,0.001207891,359.9629,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336610.7830057,442.3,5.13,0.1,0.001207891,-7.850687e-07,0.001207891,359.7894,-0.0986638,-0.00165559,-0.0146027,-179.04
1681336614.8364072,442.3,5.18,0.1,0.001207891,-7.850687e-07,0.001207891,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336618.9202948,442.3,5.23,0.1,0.001211547,-7.850687e-07,0.001204239,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336623.002691,442.3,5.28,0.1,0.001207891,2.869087e-06,0.001204239,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336627.0834908,442.3,5.33,0.1,0.001207891,2.869087e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146027,-179.046
1681336631.140492,442.3,5.38,0.1,0.001207891,2.869087e-06,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336635.223883,442.3,5.43,0.1,0.001207891,-7.850687e-07,0.001207894,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336639.3050492,442.3,5.48,0.1,0.001207891,-7.850687e-07,0.001207899,359.9628,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336643.352274,442.3,5.53,0.1,0.001207891,2.869087e-06,0.001207899,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336647.4465168,442.3,5.58,0.1,0.001211547,-7.850687e-07,0.001207891,0.3094241,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336651.5056376,442.3,5.63,0.1,0.001207891,-4.439225e-06,0.00121155,0.1356829,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336655.5868454,442.3,5.68,0.1,0.001211547,2.869087e-06,0.001207899,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336659.6341453,442.3,5.73,0.1,0.001211547,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336663.7035007,442.3,5.78,0.1,0.001207891,-7.850687e-07,0.001207894,0.1360936,-0.0986638,-0.00164796,-0.0146104,-179.046
1681336667.7879424,442.3,5.83,0.1,0.001207891,2.869087e-06,0.001207891,0.1360936,-0.0986638,-0.00164796,-0.0146027,-179.046
