t,gateBias,f2,bias,v2,x2,y2,r2,theta2,x8,y8,r8,theta8
1681347075.1528592,-2.3333333333333335,442.3,0.13,0.01,0.009598716,4.070959e-05,0.009598723,0.1557514,0,0,0,0
1681347078.6933954,-2.3333333333333335,442.3,0.1,0.01,0.009598716,-3.140275e-06,0.009598751,0.06860805,0,0,0,0
1681347082.2527256,-2.3333333333333335,442.3,0.08,0.01,0.009598716,-3.140275e-06,0.009598716,0.06850353,0,0,0,0
1681347085.7966027,-2.3333333333333335,442.3,0.05,0.01,0.009598716,-3.140275e-06,0.009584128,0.06850353,0,0,0,0
1681347089.3539565,-2.3333333333333335,442.3,0.03,0.01,0.009598716,-3.140275e-06,0.009598723,359.9813,0,0,0,0
1681347092.897343,-2.3333333333333335,442.3,0.0,0.01,0.009598716,-3.140275e-06,0.009613341,0.1555144,0,0,0,0
1681347098.1868722,-1.6666666666666667,442.3,0.0,0.01,0.009598716,-3.140275e-06,0.009613341,0.06850353,0,0,0,0
1681347101.7041862,-1.6666666666666667,442.3,0.03,0.01,0.009598716,1.147635e-05,0.009598723,359.9813,0,0,0,0
1681347105.2688677,-1.6666666666666667,442.3,0.05,0.01,0.009627962,2.609297e-05,0.009613341,0.1555144,0,0,0,0
1681347108.81827,-1.6666666666666667,442.3,0.08,0.01,0.009598716,1.147635e-05,0.009627969,0.06839932,0,0,0,0
1681347112.3571715,-1.6666666666666667,442.3,0.1,0.01,0.00961334,1.147635e-05,0.009613346,0.06839932,0,0,0,0
1681347115.904942,-1.6666666666666667,442.3,0.13,0.01,0.009598716,1.147635e-05,0.009598723,0.06850353,0,0,0,0
1681347119.4452033,-1.6666666666666667,442.3,0.15,0.01,0.009598716,1.147635e-05,0.009613346,0.1555144,0,0,0,0
1681347123.0044963,-1.6666666666666667,442.3,0.18,0.01,0.00961334,1.147635e-05,0.009598723,0.06839932,0,0,0,0
1681347126.5594947,-1.6666666666666667,442.3,0.21,0.01,0.009598716,1.147635e-05,0.009627969,0.1555144,0,0,0,0
1681347130.1096318,-1.6666666666666667,442.3,0.23,0.01,0.009598716,1.147635e-05,0.009598723,0.06839932,0,0,0,0
1681347133.668064,-1.6666666666666667,442.3,0.26,0.01,0.00961334,1.147635e-05,0.009627997,359.9813,0,0,0,0
1681347137.2213597,-1.6666666666666667,442.3,0.28,0.01,0.00961334,4.070959e-05,0.009598716,0.06839932,0,0,0,0
1681347140.7837136,-1.6666666666666667,442.3,0.31,0.01,0.009598716,-1.77569e-05,0.009613346,0.06839932,0,0,0,0
1681347144.3337266,-1.6666666666666667,442.3,0.33,0.01,0.009598716,1.147635e-05,0.009613346,0.1555144,0,0,0,0
1681347147.867387,-1.6666666666666667,442.3,0.36,0.01,0.00961334,2.609297e-05,0.009598723,0.1557514,0,0,0,0
1681347151.4220073,-1.6666666666666667,442.3,0.38,0.01,0.00961334,-3.140275e-06,0.009627997,0.06850353,0,0,0,0
1681347154.9754212,-1.6666666666666667,442.3,0.41,0.01,0.00961334,1.147635e-05,0.009613346,0.06839932,0,0,0,0
1681347158.538754,-1.6666666666666667,442.3,0.44,0.01,0.00961334,1.147635e-05,0.009613374,0.1557514,0,0,0,0
1681347162.0997612,-1.6666666666666667,442.3,0.46,0.01,0.009598716,1.147635e-05,0.009584094,0.06839932,0,0,0,0
1681347165.6732085,-1.6666666666666667,442.3,0.49,0.01,0.009598716,2.609297e-05,0.009613346,0.06839932,0,0,0,0
1681347169.2323725,-1.6666666666666667,442.3,0.51,0.01,0.00961334,2.609297e-05,0.009613374,0.06839932,0,0,0,0
