DYT048
2022-3-4LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
ADDRESS: 2
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE	LIA2_X(A)	LIA2_Y(A)	LIA2_PHASE
18:17:24	273.53	0.14	1	0.0086785	0.000316622	2.1	8.98149e-08	1.22237e-09	0.81
18:17:29	273.28	0.16	2	0.028082	0.000436785	0.894	8.35867e-08	-1.4552e-09	-0.96
18:17:34	273.03	0.12	3	0.019478	9.53679e-05	0.282	8.09673e-08	-2.38653e-09	-1.674
18:17:39	272.79	0.12	1	0.00879294	0.000316622	2.064	8.96985e-08	1.22237e-09	0.786
18:17:44	272.51	0.20	2	0.0284292	0.000417711	0.846	8.33538e-08	-1.51341e-09	-1.008
18:17:49	272.26	0.12	3	0.0197164	7.82018e-05	0.228	8.07345e-08	-2.44474e-09	-1.722
18:17:54	272.01	0.10	1	0.00890929	0.000314714	2.022	8.9582e-08	1.16416e-09	0.768
18:17:59	271.77	0.14	2	0.0287877	0.000394823	0.792	8.31792e-08	-1.51341e-09	-1.032
18:18:04	271.53	0.12	3	0.0199586	5.72207e-05	0.168	8.05016e-08	-2.50294e-09	-1.776
18:18:09	271.25	0.16	1	0.00902563	0.000312807	1.986	8.94656e-08	1.16416e-09	0.75
18:18:14	271.00	0.14	2	0.029152	0.000373842	0.738	8.30046e-08	-1.57161e-09	-1.08
18:18:20	270.75	0.20	3	0.0202047	3.81472e-05	0.108	8.0327e-08	-2.61936e-09	-1.83
18:18:25	270.51	0.20	1	0.0091477	0.000308992	1.938	8.93492e-08	1.10595e-09	0.726
18:18:30	270.23	0.22	2	0.0295221	0.000350954	0.684	8.27717e-08	-1.68803e-09	-1.152
18:18:35	269.98	0.20	3	0.0204545	1.52589e-05	0.048	8.00942e-08	-2.67757e-09	-1.908
18:18:40	269.73	0.24	1	0.00926977	0.000307085	1.902	8.92328e-08	1.04775e-09	0.684
18:18:45	269.49	0.14	2	0.0298997	0.000328066	0.63	8.25971e-08	-1.74624e-09	-1.2
18:18:50	269.21	0.16	3	0.020712	-7.62945e-06	-0.018	7.98614e-08	-2.73577e-09	-1.962
18:18:55	268.97	0.22	1	0.00939566	0.00030327	1.86	8.91164e-08	9.89537e-10	0.666
18:19:00	268.71	0.18	2	0.0302831	0.00030327	0.576	8.23643e-08	-1.80444e-09	-1.254
18:19:05	268.47	0.20	3	0.0209695	-3.05178e-05	-0.084	7.95703e-08	-2.85219e-09	-2.016
18:19:10	268.22	0.26	1	0.00952345	0.00030327	1.824	8.89418e-08	9.89537e-10	0.642
18:19:15	267.95	0.22	2	0.0306722	0.000276567	0.516	8.21897e-08	-1.92087e-09	-1.302
18:19:21	267.69	0.20	3	0.0212346	-5.53133e-05	-0.15	7.93375e-08	-2.9104e-09	-2.094
18:19:26	267.45	0.22	1	0.00965315	0.000299456	1.782	8.88253e-08	9.3133e-10	0.6
18:19:31	267.20	0.22	2	0.0310708	0.000247957	0.456	8.19568e-08	-1.97907e-09	-1.35
