DYT048
2022-3-4LOCK-IN PARAMETERS
ADDRESS: 10
TAU: 1
SENSITIVITY: 1e-3
FREQUENCY: 7.675
AMP: 1
COUPLING: AC
LP_FILTER: 24
SYNC_FILTER: none
NOTCH_FILTER: none
TIME	T_PPMS(K)	 H_PPMS(Oe)	VDP_config	LIA_X(V)	LIA_Y(V)	LIA_PHASE
16:26:42	300.00	-50823.06	3	0.0145264	0.000366213	1.512
16:26:47	300.00	-50670.16	3	0.0145264	0.000366213	1.512
16:26:52	300.00	-50520.09	3	0.0145264	0.000366213	1.512
16:26:57	300.00	-50367.16	3	0.0145264	0.000366213	1.512
16:27:02	300.00	-50217.23	3	0.0145264	0.000366213	1.512
16:27:08	300.00	-50063.79	3	0.0145264	0.000366213	1.512
16:27:13	300.00	-49913.95	3	0.0145264	0.000366213	1.512
16:27:18	300.00	-49761.01	3	0.0145264	0.000366213	1.512
16:27:23	300.00	-49610.98	3	0.0145264	0.000366213	1.512
16:27:28	300.00	-49458.09	3	0.0145264	0.000366213	1.512
16:27:33	300.00	-49308.09	3	0.0145264	0.000366213	1.512
16:27:38	300.00	-49158.20	3	0.0145264	0.000366213	1.512
16:27:43	300.00	-49005.21	3	0.0145264	0.000366213	1.512
16:27:48	300.00	-48852.25	3	0.0145264	0.000366213	1.512
16:27:53	300.00	-48702.32	3	0.0145264	0.000366213	1.512
16:27:58	300.00	-48549.14	3	0.0145569	0.000366213	1.506
16:28:03	300.00	-48399.24	3	0.0145569	0.000366213	1.506
16:28:08	300.00	-48246.27	3	0.0145569	0.000366213	1.506
16:28:13	300.00	-48096.31	3	0.0145569	0.000366213	1.506
16:28:18	300.00	-47946.25	3	0.0145569	0.000366213	1.506
16:28:23	300.00	-47793.23	3	0.0145569	0.000366213	1.506
16:28:28	300.00	-47643.35	3	0.0145569	0.000366213	1.506
16:28:33	300.00	-47490.53	3	0.0145569	0.000366213	1.506
16:28:38	300.00	-47340.54	3	0.0145569	0.000366213	1.506
16:28:43	300.00	-47190.58	3	0.0145569	0.000366213	1.506
16:28:48	300.00	-47037.51	3	0.0145569	0.000366213	1.506
16:28:53	300.00	-46887.57	3	0.0145569	0.000366213	1.506
16:28:59	300.00	-46734.56	3	0.0145569	0.000366213	1.506
16:29:04	300.00	-46584.58	3	0.0145569	0.000366213	1.506
16:29:09	300.00	-46431.75	3	0.0145569	0.000366213	1.506
16:29:14	300.00	-46281.71	3	0.0145569	0.000366213	1.506
16:29:19	300.00	-46128.80	3	0.0145569	0.000366213	1.506
16:29:24	300.00	-45978.82	3	0.0145569	0.000366213	1.506
16:29:29	300.00	-45825.87	3	0.0145569	0.000366213	1.506
16:29:34	300.00	-45676.05	3	0.0145569	0.000366213	1.506
16:29:39	300.00	-45523.08	3	0.0145569	0.000366213	1.506
16:29:44	300.00	-45373.11	3	0.0145569	0.000366213	1.506
16:29:49	300.00	-45220.03	3	0.0145569	0.000366213	1.506
16:29:54	300.00	-45070.13	3	0.0145569	0.000366213	1.506
16:29:59	300.00	-44920.34	3	0.0145569	0.000366213	1.506
16:30:04	300.00	-44767.31	3	0.0145569	0.000366213	1.506
16:30:09	300.00	-44617.38	3	0.0145569	0.000366213	1.506
16:30:14	300.00	-44464.39	3	0.0145569	0.000366213	1.506
16:30:19	300.00	-44314.43	3	0.0145569	0.000366213	1.506
16:30:24	300.00	-44164.11	3	0.0145569	0.000366213	1.506
16:30:29	300.00	-44011.13	3	0.0145569	0.000366213	1.506
16:30:34	300.00	-43858.24	3	0.0145569	0.000366213	1.506
16:30:39	300.00	-43708.16	3	0.0145569	0.000366213	1.506
16:30:44	300.00	-43558.26	3	0.0145875	0.000366213	1.506
16:30:50	300.00	-43405.47	3	0.0145875	0.000366213	1.506
16:30:55	300.00	-43255.40	3	0.0145875	0.000366213	1.506
16:31:00	300.00	-43102.45	3	0.0145875	0.000366213	1.506
16:31:05	300.00	-42952.43	3	0.0145875	0.000366213	1.506
16:31:10	300.00	-42802.52	3	0.0145875	0.000366213	1.506
16:31:15	300.00	-42649.58	3	0.0145875	0.000366213	1.506
16:31:20	300.00	-42496.67	3	0.0145875	0.000366213	1.506
16:31:25	300.00	-42346.64	3	0.0145875	0.000366213	1.506
16:31:30	300.00	-42196.78	3	0.0145875	0.000366213	1.506
16:31:35	300.00	-42043.75	3	0.0145875	0.000366213	1.506
16:31:40	300.00	-41890.80	3	0.0145875	0.000366213	1.506
16:31:45	300.00	-41740.93	3	0.0145875	0.000366213	1.506
16:31:50	300.00	-41590.95	3	0.0145875	0.000366213	1.506
16:31:55	300.00	-41438.01	3	0.0145875	0.000366213	1.506
16:32:00	300.00	-41287.68	3	0.0145875	0.000366213	1.506
16:32:05	300.00	-41134.66	3	0.0145875	0.000366213	1.506
16:32:10	300.00	-40981.57	3	0.0145875	0.000366213	1.5
16:32:15	300.00	-40831.72	3	0.0145875	0.000366213	1.506
16:32:20	300.00	-40678.82	3	0.0145875	0.000366213	1.5
16:32:25	300.00	-40528.88	3	0.0145875	0.000366213	1.5
16:32:30	300.00	-40375.88	3	0.0145875	0.000366213	1.5
16:32:36	300.00	-40225.98	3	0.0145875	0.000366213	1.5
16:32:41	300.00	-40075.94	3	0.0145875	0.000366213	1.5
16:32:46	300.00	-39923.18	3	0.0145875	0.000366213	1.5
16:32:51	300.00	-39773.07	3	0.0145875	0.000366213	1.5
16:32:56	300.00	-39620.14	3	0.0145875	0.000366213	1.5
16:33:01	300.00	-39470.21	3	0.0145875	0.000366213	1.5
16:33:06	300.00	-39317.08	3	0.0145875	0.000366213	1.5
16:33:11	300.00	-39167.15	3	0.0145875	0.000366213	1.5
16:33:16	300.00	-39017.30	3	0.0145875	0.000366213	1.5
16:33:21	300.00	-38864.38	3	0.0145875	0.000366213	1.5
16:33:26	300.00	-38714.45	3	0.0145875	0.000366213	1.5
16:33:31	300.00	-38561.42	3	0.0145875	0.000366213	1.5
16:33:36	300.00	-38411.48	3	0.014618	0.000366213	1.5
16:33:41	300.00	-38258.12	3	0.014618	0.000366213	1.5
16:33:46	300.00	-38108.23	3	0.014618	0.000366213	1.5
16:33:51	300.00	-37955.32	3	0.014618	0.000366213	1.5
16:33:56	300.00	-37805.18	3	0.014618	0.000366213	1.5
16:34:01	300.00	-37655.34	3	0.014618	0.000366213	1.5
16:34:06	300.00	-37505.41	3	0.014618	0.000366213	1.5
16:34:11	300.00	-37352.45	3	0.014618	0.000366213	1.5
16:34:16	300.00	-37199.55	3	0.014618	0.000366213	1.5
16:34:21	300.00	-37049.58	3	0.014618	0.000366213	1.5
16:34:26	300.00	-36896.59	3	0.014618	0.000366213	1.5
16:34:32	300.00	-36746.48	3	0.014618	0.000366213	1.5
16:34:37	300.00	-36596.50	3	0.014618	0.000366213	1.5
16:34:42	300.00	-36443.63	3	0.014618	0.000366213	1.5
16:34:47	300.00	-36293.65	3	0.014618	0.000366213	1.5
16:34:52	300.00	-36140.75	3	0.014618	0.000366213	1.5
16:34:57	300.00	-35990.64	3	0.014618	0.000366213	1.5
16:35:02	300.00	-35837.73	3	0.014618	0.000366213	1.5
16:35:07	300.00	-35687.82	3	0.014618	0.000366213	1.5
16:35:12	300.00	-35534.95	3	0.014618	0.000366213	1.5
16:35:17	300.00	-35384.94	3	0.0146485	0.000366213	1.5
16:35:22	300.00	-35234.96	3	0.0146485	0.000366213	1.5
16:35:27	300.00	-35081.94	3	0.0146485	0.000366213	1.5
16:35:32	300.00	-34931.96	3	0.0146485	0.000366213	1.5
16:35:37	300.00	-34779.10	3	0.0146485	0.000366213	1.5
16:35:42	300.00	-34629.20	3	0.0146485	0.000366213	1.5
16:35:47	300.00	-34479.20	3	0.0146485	0.000366213	1.5
16:35:52	300.00	-34326.27	3	0.0146485	0.000366213	1.5
16:35:57	300.00	-34176.17	3	0.0146485	0.000366213	1.5
16:36:02	300.00	-34023.29	3	0.0146485	0.000366213	1.5
16:36:07	300.00	-33873.54	3	0.0146485	0.000366213	1.5
16:36:12	300.00	-33720.55	3	0.0146485	0.000366213	1.5
16:36:17	300.00	-33570.46	3	0.0146485	0.000366213	1.5
16:36:22	300.00	-33417.42	3	0.0146485	0.000366213	1.5
16:36:28	300.00	-33267.54	3	0.0146485	0.000366213	1.5
16:36:33	300.00	-33114.56	3	0.0146485	0.000366213	1.5
16:36:38	300.00	-32964.74	3	0.0146485	0.000366213	1.5
16:36:43	300.00	-32811.65	3	0.0146485	0.000366213	1.5
16:36:48	300.00	-32661.76	3	0.0146485	0.000366213	1.5
16:36:53	300.00	-32511.78	3	0.0146485	0.000366213	1.5
16:36:58	300.00	-32358.32	3	0.0146485	0.000366213	1.494
16:37:03	300.00	-32205.47	3	0.0146485	0.000366213	1.494
16:37:08	300.00	-32052.42	3	0.0146485	0.000366213	1.494
16:37:13	300.00	-31902.51	3	0.0146485	0.000366213	1.494
16:37:18	300.00	-31749.58	3	0.0146485	0.000366213	1.494
16:37:23	300.00	-31599.72	3	0.0146485	0.000366213	1.494
16:37:28	300.00	-31446.65	3	0.0146485	0.000366213	1.494
16:37:33	300.00	-31296.71	3	0.0146485	0.000366213	1.494
16:37:38	300.00	-31143.82	3	0.0146485	0.000366213	1.494
16:37:43	300.00	-30993.79	3	0.0146485	0.000366213	1.494
